file,pitname,datetime,x_utm13n,y_utm13n,depth_m,density_kgm3
2017-02-06/PIT_L36/pit_20170206_L36.xlsx,L36,2017-02-06 14:40:00,261866.0,4199321.0,1.29,301.5
2017-02-06/PIT_L37/pit_20170206_L37.xlsx,L37,2017-02-06 01:20:00,259828.0,4200376.0,0.94,304.3
2017-02-06/PIT_L40/pit_20170206_L40.xlsx,L40,2017-02-06 11:35:00,261637.0,4198980.0,1.81,308.0
2017-02-07/PIT_36N/pit_20170207_36N.xlsx,36N,2017-02-07 13:30:00,231668.9,4324234.3,1.09,329.9
2017-02-07/PIT_46N/pit_20170207_46N.xlsx,46N,2017-02-07 10:15:00,234762.7,4326172.7,1.65,316.5
2017-02-07/PIT_46S/pit_2017020746S.xlsx,,2017-02-07 12:00:00,234764.6,4325959.1,1.60,327.5
2017-02-07/PIT_49N/pit_20170207_49N.xlsx,49N,2017-02-07 14:57:00,234957.6,4326331.2,1.59,296.7
2017-02-07/PIT_63W/pit_20170207_63W.xlsx,63W,2017-02-07 15:40:00,236010.7,4323051.5,11.00,302.7
2017-02-07/PIT_66N/pit_20170207_66N.xlsx,66N,2017-02-07 11:07:00,236948.5,4323836.4,1.73,316.6
2017-02-07/PIT_66S/pit_20170207_66S.xlsx,66S,2017-02-07 13:10:00,236964.2,4323572.8,1.87,317.9
2017-02-07/PIT_80E/pit_20170207_80E.xlsx,80E,2017-02-07 15:30:00,247938.0,4325639.0,1.84,306.0
2017-02-07/PIT_92E/pit_20170207_92E.xlsx,92E,2017-02-07 13:00:00,250334.0,4326408.0,1.79,332.1
2017-02-07/PIT_92W/pit_20170207_92W.xlsx,92W,2017-02-07 11:20:00,250116.0,4326406.0,1.63,334.5
2017-02-07/PIT_M21/pit_20170207_M21.xlsx,M21,2017-02-07 01:42:00,260125.0,4198914.0,0.62,301.3
2017-02-07/PIT_M22/pit_20170207_M22.xlsx,M22,2017-02-07 12:10:00,259928.0,4199042.0,1.73,321.8
2017-02-07/PIT_M25/pit_20170207_M25.xlsx,M25,2017-02-07 11:05:00,260316.0,4198988.0,0.92,329.4
2017-02-07/PIT_M29/pit_20170207_M29.xlsx,M29,2017-02-07 13:20:00,260549.0,4198833.0,0.93,335.9
2017-02-07/PIT_MT01/pit_20170207_MT01.xlsx,MT01,2017-02-07 12:45:00,231890.0,4327140.4,1.34,320.5
2017-02-08/PIT_26W/pit_20170208_26W.xlsx,26W,2017-02-08 14:00:00,227071.2,4323338.3,1.27,312.2
2017-02-08/PIT_29E/pit_20170208_29E.xlsx,29E,2017-02-08 15:35:00,228417.8,4322177.8,1.27,309.7
2017-02-08/PIT_32S/pit_20170208_32S.xlsx,32S,2017-02-08 12:09:00,229862.6,4322063.4,1.28,318.5
2017-02-08/PIT_38E/pit_20170208_38E.xlsx,38E,2017-02-08 10:30:00,232459.7,4323688.9,1.57,314.9
2017-02-08/PIT_53W/pit_20170208_53W.xlsx,53W,2017-02-08 09:40:00,235217.5,4324562.1,1.41,337.0
2017-02-08/PIT_54N/pit_20170208_54N.xlsx,54N,2017-02-08 13:10:00,235316.3,4326603.2,1.49,318.7
2017-02-08/PIT_56W/pit_20170208_56W.xlsx,56W,2017-02-08 09:57:00,235149.2,4326183.3,2.10,345.4
2017-02-08/PIT_56W/pit_20170208_56W_Continue.xlsx,56W_Continue,2017-02-08 09:57:00,235149.2,4326183.3,2.10,nan
2017-02-08/PIT_90N/pit_20170208_90N.xlsx,90N,2017-02-08 15:30:00,249750.0,4327561.0,1.27,297.6
2017-02-08/PIT_96E/pit_20170208_96E.xlsx,96E,2017-02-08 10:45:00,251289.0,4332479.0,1.24,324.6
2017-02-08/PIT_99N/pit_20170208_99N.xlsx,99N,2017-02-08 13:00:00,251842.0,4331415.0,1.65,330.8
2017-02-08/PIT_JC01/pit_20170208_JC01.xlsx,JC01,2017-02-08 13:00:00,232205.1,4327343.1,1.40,316.0
2017-02-08/PIT_L33/pit_20170208_L33.xlsx,L33,2017-02-08 12:25:00,261084.0,4198570.0,1.92,298.8
2017-02-08/PIT_L34/pit_20170208_L34.xlsx,L34,2017-02-08 10:30:00,261206.0,4199036.0,1.86,301.6
2017-02-08/PIT_L35/pit_20170208_L35.xlsx,L35,2017-02-08 13:44:00,261597.0,4199262.0,1.44,304.5
2017-02-08/PIT_L38/pit_20170208_L38.xlsx,L38,2017-02-08 10:15:00,261583.0,4198757.0,1.63,298.6
2017-02-08/PIT_L39/pit_20170208_L39.xlsx,L39,2017-02-08 02:30:00,261789.0,419075.0,1.63,280.9
2017-02-09/PIT_12E/pit_20170209_12E.xlsx,12E,2017-02-09 10:51:00,224197.3,4322775.3,0.88,307.9
2017-02-09/PIT_12E_SMP/pit_20170209_12E_SMP.xlsx,12E_SMP,2017-02-09 13:30:00,224183.2,4322775.3,0.88,315.3
2017-02-09/PIT_12W/pit_20170209_12W.xlsx,12W,2017-02-09 13:55:00,224027.0,4322780.0,0.87,316.8
2017-02-09/PIT_18N/pit_20170209_18N.xlsx,18N,2017-02-09 10:30:00,224803.1,4322219.1,0.98,324.0
2017-02-09/PIT_55E/pit_20170209_55E.xlsx,55E,2017-02-09 09:50:00,235535.9,4325042.2,1.38,311.0
2017-02-09/PIT_59W/pit_20170209_59W.xlsx,59W,2017-02-09 13:08:00,235634.2,4325210.1,1.51,335.8
2017-02-09/PIT_5S/pit_20170209_5S.xlsx,5S,2017-02-09 14:25:00,222558.1,4322695.2,0.86,358.6
2017-02-09/PIT_64S/pit_20170209_64S.xlsx,64S,2017-02-09 15:45:00,236630.0,4324840.6,1.50,310.7
2017-02-09/PIT_73S/pit_20170209_73S.xlsx,73S,2017-02-09 10:30:00,246022.0,4323871.0,1.74,329.8
2017-02-09/PIT_74W/pit_20170209_74W.xlsx,74W,2017-02-09 13:00:00,246282.0,4324393.0,1.59,334.8
2017-02-09/PIT_78S/pit_20170209_78S.xlsx,78S,2017-02-09 15:00:00,247248.0,4325364.0,1.57,310.3
2017-02-09/PIT_T02/pit_20170209_T02.xlsx,T02,2017-02-09 13:00:00,259490.0,4199957.0,1.99,345.0
2017-02-09/PIT_T06/pit_20170209_T06.xlsx,T06,2017-02-09 02:55:00,259746.0,4200072.0,1.67,331.3
2017-02-09/PIT_U13/pit_20170209_U13.xlsx,U13,2017-02-09 15:00:00,259961.0,4199676.0,1.61,334.9
2017-02-10/PIT_09S/pit_20170210_09S.xlsx,09S,2017-02-10 11:20:00,223302.0,4324942.5,1.00,347.5
2017-02-10/PIT_13W/pit_20170210_13W.xlsx,13W,2017-02-10 09:30:00,224097.9,4325489.4,1.57,350.3
2017-02-10/PIT_15E/pit_20170210_15E.xlsx,15E,2017-02-10 13:00:00,224513.1,4323429.1,0.85,304.8
2017-02-10/PIT_19E/pit_20170210_19E.xlsx,19E,2017-02-10 14:30:00,225147.1,4324361.5,1.26,341.5
2017-02-10/PIT_1E/pit_20170210_1E.xlsx,1E,2017-02-10 13:15:00,228567.8,4324736.9,0.87,304.1
2017-02-10/PIT_20W/pit_20170210_20W.xlsx,20W,2017-02-10 15:30:00,225263.1,4324009.0,1.19,336.5
2017-02-10/PIT_25E/pit_20170210_25E.xlsx,25E,2017-02-10 14:15:00,226866.9,4325556.0,1.84,394.2
2017-02-10/PIT_30E/pit_20170210_30E.xlsx,30E,2017-02-10 11:37:00,228712.8,4325352.8,1.44,316.0
2017-02-10/PIT_35W/pit_20170210_35W.xlsx,35W,2017-02-10 09:33:00,230881.8,4325474.1,1.30,317.2
2017-02-10/PIT_41W/pit_20170210_41W.xlsx,41W,2017-02-10 12:00:00,234004.2,4325341.9,0.52,300.9
2017-02-10/PIT_43N/pit_20170210_43N.xlsx,43N,2017-02-10 08:45:00,234322.2,4325953.3,1.59,321.1
2017-02-10/PIT_44W/pit_20170210_44W.xlsx,44W,2017-02-10 14:30:00,234214.1,4324499.1,1.58,333.3
2017-02-10/PIT_4W/pit_20170210_4W.xlsx,4W,2017-02-10 14:45:00,222212.2,4322936.5,0.70,313.5
2017-02-10/PIT_6-micro-pit-north/pit_20170210_6-micro-pit-north.xlsx,6-micro-pit-north,2017-02-10 10:30:00,222984.0,4325258.2,1.15,325.9
2017-02-10/PIT_6N/pit_20170210_6N.xlsx,6N,2017-02-10 09:25:00,222985.0,4325364.4,0.93,312.7
2017-02-10/PIT_6S/pit_20170210_6S.xlsx,6S,2017-02-10 11:30:00,222983.6,4325008.7,1.49,366.8
2017-02-10/PIT_7E/pit_20170210_7E.xlsx,7E,2017-02-10 13:15:00,228567.8,4324736.9,0.87,304.1
2017-02-10/PIT_JC02/pit_20170210_JC02.xlsx,JC02,2017-02-10 15:15:00,232194.1,4327389.9,1.47,324.0
2017-02-10/PIT_JC03/pit_20170210_JC03.xlsx,JC03,2017-02-10 09:30:00,232142.3,4327348.2,1.39,283.1
2017-02-10/PIT_JC04/pit_20170210_JC04.xlsx,JC04,2017-02-10 12:24:00,232125.4,4327305.2,1.29,312.4
2017-02-10/PIT_M27/pit_20170210_M27.xlsx,M27,2017-02-10 11:02:00,260512.0,4198642.0,0.45,256.2
2017-02-10/PIT_M28/pit_20170210_M28.xlsx,M28,2017-02-10 12:02:00,260561.0,4199063.0,0.90,321.7
2017-02-10/PIT_M30/pit_20170210_M30.xlsx,M30,2017-02-10 11:20:00,260805.0,4198709.0,1.42,323.5
2017-02-11/PIT_MTR_0838/pit_20170211_MTR_0838.xlsx,MTR_0838,2017-02-11 09:35:00,236301.6,4324284.0,1.55,313.7
2017-02-11/PIT_MTR_0895/pit_20170211_MTR_0895.xlsx,MTR_0895,2017-02-11 11:00:00,236301.6,4324284.0,1.55,313.8
2017-02-11/PIT_MTR_1590/pit_20170211_MTR_1590.xlsx,MTR_1590,2017-02-11 10:00:00,236301.6,4324284.0,1.35,303.6
2017-02-14/PIT_100N/pit_20170214_100N.xlsx,100N,2017-02-14 10:30:00,252097.0,4330164.0,1.60,349.3
2017-02-14/PIT_101E/pit_20170214_101E.xlsx,101E,2017-02-14 12:30:00,252511.0,4330059.0,1.88,320.2
2017-02-14/PIT_75W/pit_20170214_75W.xlsx,75W,2017-02-14 13:19:00,246317.0,4326409.0,1.87,317.6
2017-02-14/PIT_76N/pit_20170214_76N.xlsx,76N,2017-02-14 13:00:00,246846.0,4326609.0,1.84,332.7
2017-02-14/PIT_77E/pit_20170214_77E.xlsx,77E,2017-02-14 10:00:00,247139.0,4326892.0,2.06,304.5
2017-02-14/PIT_83N/pit_20170214_83N.xlsx,83N,2017-02-14 14:55:00,248555.0,4330449.0,1.58,310.9
2017-02-14/PIT_85W/pit_20170214_85W.xlsx,85W,2017-02-14 14:30:00,249114.0,4327136.0,1.99,317.7
2017-02-14/PIT_86N/pit_20170214_86N.xlsx,86N,2017-02-14 13:20:00,249395.0,4329821.0,1.66,325.9
2017-02-14/PIT_88E/pit_20170214_88E.xlsx,88E,2017-02-14 10:10:00,249744.0,4327109.0,1.76,344.4
2017-02-14/PIT_89E/pit_20170214_89E.xlsx,89E,2017-02-14 10:40:00,249940.0,4328958.0,1.26,320.0
2017-02-14/PIT_JC05/pit_20170214_JC05.xlsx,JC05,2017-02-14 12:48:00,232233.0,4327401.4,1.42,318.4
2017-02-14/PIT_MT02/pit_20170214_MT02.xlsx,MT02,2017-02-14 11:04:00,231889.3,4327130.4,1.52,342.6
2017-02-14/PIT_RS01/pit_20170214_RS01.xlsx,RS01,2017-02-14 08:30:00,231849.4,4327178.1,1.35,357.2
2017-02-14/PIT_RS02/pit_20170214_RS02.xlsx,RS02,2017-02-14 08:32:00,231874.9,4327175.5,1.50,314.8
