day.dec,latitude,N/S,longitude,E/W,GPSfix,NSats,HDOP,elevation
736367.6648032408,37.89695866666667,N,107.713285,W,2,8,0.65,3382.4
736367.6648148148,37.896959,N,107.71328616666666,W,2,8,0.65,3382.9
736367.6648263889,37.896959,N,107.7132865,W,2,8,0.65,3383.1
736367.664837963,37.896959,N,107.71328666666666,W,2,8,0.62,3383.2
736367.6648495371,37.896959,N,107.713287,W,2,8,0.62,3383.4
736367.6648611111,37.896959333333335,N,107.713287,W,2,8,0.62,3383.6
736367.6648726852,37.89696,N,107.71328716666666,W,2,8,0.62,3383.9
736367.6648842592,37.89696,N,107.71328733333333,W,2,8,0.62,3384.0
736367.6648958334,37.89695966666667,N,107.71328716666666,W,2,8,0.62,3384.1
736367.6649074074,37.896959333333335,N,107.71328733333333,W,2,8,0.62,3384.2
736367.6649189815,37.896959333333335,N,107.71328766666667,W,2,8,0.62,3384.2
736367.6649305555,37.89695916666667,N,107.71328816666667,W,2,8,0.62,3384.3
736367.6649421296,37.896958833333336,N,107.7132885,W,2,8,0.62,3384.3
736367.6649537038,37.8969585,N,107.713289,W,2,8,0.62,3384.3
736367.6649652778,37.896958166666664,N,107.71328933333334,W,2,8,0.62,3384.3
736367.6649768519,37.89695783333333,N,107.71328983333333,W,2,8,0.62,3384.3
736367.6649884259,37.89695783333333,N,107.7132895,W,2,8,0.62,3384.4
736367.665,37.896958166666664,N,107.71328866666667,W,2,8,0.62,3384.4
736367.665011574,37.89695866666667,N,107.71328816666667,W,2,8,0.62,3384.4
736367.6650231482,37.8969585,N,107.7132885,W,2,8,0.62,3384.5
736367.6650347222,37.896958,N,107.71328883333334,W,2,8,0.62,3384.6
736367.6650462963,37.89695783333333,N,107.71328866666667,W,2,8,0.64,3384.6
736367.6650578703,37.89695783333333,N,107.71328833333334,W,2,8,0.64,3384.6
736367.6650694445,37.89695783333333,N,107.71328766666667,W,2,8,0.64,3384.7
736367.6650810185,37.896958166666664,N,107.71328733333333,W,2,8,0.64,3384.7
736367.6650925926,37.896958166666664,N,107.71328733333333,W,2,8,0.64,3384.8
736367.6651041667,37.896958166666664,N,107.7132875,W,2,8,0.62,3385.0
736367.6651157407,37.896958833333336,N,107.71328616666666,W,2,8,0.62,3385.0
736367.6651273149,37.89695916666667,N,107.7132855,W,2,8,0.62,3385.1
736367.6651388889,37.8969595,N,107.71328516666667,W,2,8,0.62,3385.0
736367.665150463,37.89696,N,107.7132845,W,2,8,0.62,3384.9
736367.665162037,37.896960166666666,N,107.713284,W,2,8,0.62,3384.9
736367.6651736111,37.89696083333333,N,107.71328383333334,W,2,8,0.62,3384.8
736367.6651851851,37.896961,N,107.71328316666667,W,2,8,0.62,3384.9
736367.6651967593,37.8969605,N,107.7132835,W,2,8,0.62,3385.2
736367.6652083333,37.8969605,N,107.71328383333334,W,2,8,0.62,3385.4
736367.6652199074,37.8969605,N,107.71328383333334,W,2,8,0.62,3385.5
736367.6652314814,37.89696383333333,N,107.71327883333333,W,2,8,0.62,3386.4
736367.6652430556,37.8969655,N,107.713276,W,2,8,0.64,3386.6
736367.6652546297,37.89696633333333,N,107.71327383333333,W,2,8,0.64,3386.6
736367.6652662037,37.89696683333333,N,107.7132715,W,2,8,0.64,3386.6
736367.6652777778,37.89696683333333,N,107.71327033333333,W,2,8,0.64,3386.8
736367.6652893518,37.896966666666664,N,107.71326866666666,W,2,8,0.64,3386.9
736367.665300926,37.896966666666664,N,107.7132675,W,2,8,0.64,3386.9
736367.6653125,37.896966666666664,N,107.71326583333334,W,2,8,0.64,3386.8
736367.6653240741,37.896966666666664,N,107.71326483333333,W,2,8,0.64,3386.7
736367.6653356481,37.896966666666664,N,107.71326266666667,W,2,8,0.64,3386.5
736367.6653472222,37.89696683333333,N,107.713261,W,2,8,0.64,3386.3
736367.6653587963,37.89696633333333,N,107.7132605,W,2,8,0.64,3386.2
736367.6653703704,37.89696566666667,N,107.71326116666667,W,2,8,0.64,3386.4
736367.6653819444,37.89696516666667,N,107.71326133333334,W,2,8,0.64,3386.4
736367.6653935185,37.8969645,N,107.71326183333333,W,2,8,0.64,3386.4
736367.6654050926,37.89696416666666,N,107.713262,W,2,8,0.64,3386.4
736367.6654166667,37.896964,N,107.71326216666667,W,2,8,0.64,3386.4
736367.6654282408,37.89696416666666,N,107.71326233333333,W,2,8,0.64,3386.3
736367.6654398148,37.89696416666666,N,107.71326266666667,W,2,8,0.64,3386.4
736367.6654513889,37.8969645,N,107.71326266666667,W,2,8,0.64,3386.3
736367.6654629629,37.896965,N,107.7132625,W,2,8,0.64,3386.3
