day.dec,latitude,N/S,longitude,E/W,GPSfix,NSats,HDOP,elevation
736367.7437962963,37.904437,N,107.721453,W,1,8,0.76,3631.8
736367.7438078703,37.904436833333335,N,107.7214535,W,1,8,0.76,3631.8
736367.7438194444,37.90443633333334,N,107.7214535,W,1,8,0.76,3631.9
736367.7438310186,37.904436833333335,N,107.7214535,W,1,8,0.76,3631.9
736367.7438425926,37.90443716666667,N,107.72145333333333,W,1,8,0.76,3632.0
736367.7438541667,37.904437333333334,N,107.72145333333333,W,1,8,0.76,3632.1
736367.7438657407,37.904437333333334,N,107.72145366666666,W,1,8,0.76,3632.1
736367.7438773148,37.904437,N,107.72145366666666,W,1,8,0.76,3632.1
736367.7438888889,37.904437,N,107.72145283333333,W,1,8,0.76,3632.1
736367.743900463,37.904436833333335,N,107.72145233333333,W,1,8,0.76,3632.0
736367.743912037,37.90443666666667,N,107.72145116666667,W,1,8,0.76,3632.0
736367.7439236111,37.9044365,N,107.721451,W,1,8,0.76,3632.0
736367.7439351851,37.90443666666667,N,107.72145066666667,W,1,8,0.76,3632.0
736367.7439467593,37.904436833333335,N,107.72145083333334,W,1,8,0.76,3631.9
736367.7439583334,37.90443633333334,N,107.72145083333334,W,1,8,0.76,3631.8
736367.7439699074,37.904436,N,107.72145066666667,W,1,8,0.78,3631.7
736367.7439814815,37.90443583333333,N,107.72145,W,1,8,0.78,3631.6
736367.7439930555,37.90443533333333,N,107.72145033333334,W,1,8,0.76,3631.5
736367.7440046297,37.90443466666667,N,107.72145116666667,W,1,8,0.76,3631.3
736367.7440162037,37.904434,N,107.72145183333333,W,1,8,0.76,3631.1
736367.7440277778,37.904433833333336,N,107.72145266666666,W,1,8,0.76,3630.9
736367.7440393518,37.90443366666667,N,107.72145383333333,W,1,8,0.76,3630.8
736367.744050926,37.9044335,N,107.72145416666666,W,1,8,0.76,3630.7
736367.7440625,37.90443283333333,N,107.7214545,W,1,8,0.88,3630.6
736367.7440740741,37.904432,N,107.7214545,W,1,8,0.88,3630.4
736367.7440856481,37.904431333333335,N,107.72145433333333,W,1,8,0.9,3630.3
736367.7440972222,37.904430833333336,N,107.72145483333334,W,1,8,0.88,3630.2
736367.7441087964,37.9044305,N,107.72145533333334,W,1,8,0.88,3630.2
736367.7441203704,37.90443,N,107.72145616666667,W,1,8,0.76,3630.1
736367.7441319445,37.90442983333333,N,107.7214565,W,1,8,0.76,3630.0
736367.7441435185,37.90442933333333,N,107.721457,W,1,8,0.76,3629.9
736367.7441550926,37.90442916666667,N,107.72145716666667,W,1,8,0.76,3629.9
736367.7441666666,37.904428833333334,N,107.721457,W,1,8,0.76,3629.8
736367.7441782408,37.90442816666667,N,107.721457,W,1,8,0.76,3629.7
736367.7441898148,37.90442766666666,N,107.72145733333333,W,1,8,0.76,3629.6
736367.7442013889,37.904426666666666,N,107.72145816666666,W,1,8,0.76,3629.5
736367.7442129629,37.90442633333333,N,107.7214585,W,1,8,0.76,3629.4
736367.744224537,37.904425833333335,N,107.721459,W,1,8,0.78,3629.3
736367.7442361111,37.9044255,N,107.7214595,W,1,8,0.78,3629.2
736367.7442476852,37.90442516666667,N,107.7214595,W,1,8,0.78,3629.1
736367.7442592593,37.90442516666667,N,107.72145966666666,W,1,8,0.78,3629.1
736367.7442708333,37.904425,N,107.72145966666666,W,1,8,0.78,3629.1
736367.7442824075,37.90442516666667,N,107.72145966666666,W,1,8,0.78,3629.1
736367.7442939815,37.9044255,N,107.72145966666666,W,1,8,0.78,3629.1
736367.7443055556,37.9044255,N,107.72145983333333,W,1,8,0.76,3629.0
736367.7443171296,37.90442516666667,N,107.72146016666667,W,1,8,0.76,3629.0
736367.7443287037,37.90442483333333,N,107.72146,W,1,8,0.76,3628.9
736367.7443402777,37.904424166666665,N,107.72146,W,1,8,0.76,3628.9
736367.7443518519,37.90442383333333,N,107.72146,W,1,8,0.76,3628.9
736367.7443634259,37.904423,N,107.72146016666667,W,1,8,0.76,3628.9
736367.744375,37.90442266666667,N,107.72146,W,1,8,0.76,3628.9
736367.744386574,37.90442266666667,N,107.72146033333334,W,1,8,0.76,3628.8
736367.7443981481,37.904422,N,107.7214605,W,1,8,0.76,3628.7
736367.7444097223,37.90442183333333,N,107.721461,W,1,8,0.76,3628.7
736367.7444212963,37.904421,N,107.72146183333334,W,1,8,0.76,3628.6
736367.7444328704,37.9044205,N,107.72146216666667,W,1,8,0.76,3628.6
736367.7444444444,37.90442,N,107.72146283333333,W,1,8,0.76,3628.6
736367.7444560186,37.90441883333333,N,107.72146333333333,W,1,8,0.76,3628.5
736367.7444675926,37.9044175,N,107.72146333333333,W,1,8,0.76,3628.5
736367.7444791667,37.90441716666667,N,107.72146383333333,W,1,8,0.76,3628.5
736367.7444907407,37.904416499999996,N,107.7214635,W,1,8,0.76,3628.6
736367.7445023148,37.904416499999996,N,107.72146383333333,W,1,8,0.76,3628.6
736367.7445138888,37.904416499999996,N,107.72146416666666,W,1,8,0.76,3628.6
736367.744525463,37.904416166666664,N,107.721465,W,1,8,0.76,3628.5
736367.744537037,37.904416166666664,N,107.72146583333334,W,1,8,0.78,3628.5
736367.7445486111,37.904416166666664,N,107.721466,W,1,8,0.76,3628.5
736367.7445601852,37.90441583333333,N,107.72146633333334,W,1,8,0.78,3628.5
736367.7445717592,37.90441583333333,N,107.72146833333333,W,1,8,0.76,3628.4
736367.7445833334,37.90441583333333,N,107.72146966666666,W,1,8,0.76,3628.5
736367.7445949074,37.904413,N,107.72147016666666,W,1,8,0.76,3628.1
736367.7446064815,37.9044115,N,107.72147116666666,W,1,8,0.76,3627.9
736367.7446180555,37.904411833333334,N,107.72147033333333,W,1,8,0.76,3627.8
736367.7446296297,37.904413,N,107.721475,W,1,8,0.76,3627.6
736367.7446412037,37.904416499999996,N,107.72147416666667,W,1,8,0.76,3628.0
736367.7446527778,37.904417,N,107.72147383333333,W,1,8,0.76,3628.1
736367.7446643518,37.904416166666664,N,107.72147416666667,W,1,8,0.76,3627.8
736367.7446759259,37.90441666666667,N,107.72147366666667,W,1,8,0.76,3627.8
736367.7446875,37.90441716666667,N,107.72147483333333,W,1,8,0.76,3627.7
736367.7446990741,37.9044185,N,107.72147583333333,W,1,8,0.78,3627.9
736367.7447106482,37.904418,N,107.72147783333334,W,1,8,0.78,3627.7
736367.7447222222,37.90441966666667,N,107.72147783333334,W,1,8,0.76,3628.0
736367.7447337963,37.904422,N,107.72148033333333,W,1,8,0.76,3628.4
736367.7447453703,37.9044215,N,107.721483,W,1,8,0.76,3628.0
736367.7447569445,37.90442133333333,N,107.72148666666666,W,1,8,0.76,3627.6
736367.7447685185,37.904420333333334,N,107.7214895,W,1,8,0.76,3627.4
736367.7447800926,37.90442,N,107.721492,W,1,8,0.76,3627.2
736367.7447916666,37.90441933333334,N,107.7214925,W,1,8,0.76,3627.1
736367.7448032408,37.90442,N,107.721492,W,1,8,0.76,3627.1
736367.7448148148,37.90441883333333,N,107.72149233333333,W,1,8,0.78,3627.0
736367.7448263889,37.90441883333333,N,107.721492,W,1,8,0.78,3626.9
736367.7448379629,37.90441783333333,N,107.72149283333333,W,1,8,0.76,3626.7
736367.744849537,37.90441766666667,N,107.72149466666667,W,1,8,0.76,3626.6
736367.7448611112,37.90441766666667,N,107.72149566666667,W,1,8,0.76,3626.5
736367.7448726852,37.90441766666667,N,107.7214955,W,1,8,0.76,3626.6
736367.7448842593,37.90441766666667,N,107.72149583333334,W,1,8,0.88,3626.6
736367.7448958333,37.90441783333333,N,107.72149683333333,W,1,8,0.88,3626.5
736367.7449074074,37.904418,N,107.72149766666666,W,1,8,0.76,3626.5
736367.7449189815,37.904418666666665,N,107.721498,W,1,8,0.76,3626.5
736367.7449305556,37.90441933333334,N,107.72149816666666,W,1,8,0.76,3626.6
736367.7449421296,37.90442,N,107.72149883333333,W,1,8,0.88,3626.7
