day.dec,latitude,N/S,longitude,E/W,GPSfix,NSats,HDOP,elevation
736367.8319212963,37.9064485,N,107.72614583333333,W,1,8,1.25,3721.8
736367.8319328703,37.906456166666665,N,107.72614333333334,W,1,8,1.25,3722.1
736367.8319444444,37.906457333333336,N,107.7261415,W,1,8,1.25,3722.2
736367.8319560185,37.906461166666666,N,107.7261395,W,1,8,1.25,3722.3
736367.8319675926,37.90647033333333,N,107.72613566666666,W,1,8,1.35,3722.6
736367.8319791667,37.90647216666667,N,107.72613333333334,W,1,8,1.25,3722.9
736367.8319907407,37.90646616666667,N,107.726136,W,1,8,1.25,3722.9
736367.8320023149,37.9064665,N,107.726133,W,1,8,1.25,3723.4
736367.8320138889,37.90646866666667,N,107.7261285,W,1,8,1.35,3724.0
736367.832025463,37.906469,N,107.726123,W,1,8,1.35,3724.8
736367.832037037,37.9064675,N,107.72612,W,1,8,1.43,3725.0
736367.8320486111,37.906468333333336,N,107.72611816666667,W,1,8,1.43,3725.2
736367.8320601851,37.906469333333334,N,107.7261165,W,1,8,1.43,3725.5
736367.8320717593,37.906471333333336,N,107.72611216666667,W,1,8,1.33,3725.9
736367.8320833333,37.90647283333333,N,107.72610716666667,W,1,8,1.33,3726.4
736367.8320949074,37.90647583333333,N,107.72610283333333,W,1,8,1.33,3726.7
736367.8321064815,37.90647766666667,N,107.7261005,W,1,8,1.25,3726.8
736367.8321180556,37.90647666666667,N,107.726099,W,1,8,1.25,3726.6
736367.8321296297,37.906476,N,107.7260955,W,1,8,1.25,3726.8
736367.8321412037,37.90647366666666,N,107.72609516666667,W,1,8,1.25,3726.6
736367.8321527778,37.906471833333335,N,107.72609316666667,W,1,8,1.33,3726.6
736367.8321643518,37.90647166666667,N,107.7260905,W,1,8,1.33,3726.9
736367.832175926,37.90647216666667,N,107.72608783333334,W,1,8,1.33,3727.2
736367.8321875,37.90647333333333,N,107.72608366666667,W,1,8,1.33,3727.5
736367.8321990741,37.90647383333334,N,107.72608366666667,W,1,8,1.25,3727.5
736367.8322106481,37.906475666666665,N,107.72608283333334,W,1,8,1.25,3727.6
736367.8322222222,37.906476166666664,N,107.7260855,W,1,8,1.25,3727.5
736367.8322337962,37.90647883333333,N,107.726084,W,1,8,0.96,3727.7
736367.8322453704,37.906481,N,107.72608533333333,W,1,8,0.96,3727.7
736367.8322569445,37.90648316666667,N,107.72608416666667,W,1,8,0.96,3727.9
736367.8322685185,37.906485,N,107.72608383333333,W,1,8,0.96,3728.2
736367.8322800926,37.906487166666665,N,107.72608283333334,W,1,8,0.96,3728.4
736367.8322916667,37.906486666666666,N,107.72608266666667,W,1,8,1.06,3728.6
736367.8323032408,37.906487166666665,N,107.72608283333334,W,1,8,1.16,3728.8
736367.8323148148,37.906491833333334,N,107.7260805,W,1,8,1.16,3729.2
736367.8323263889,37.90649283333333,N,107.7260755,W,1,8,1.16,3729.7
736367.8323379629,37.9064915,N,107.72607366666666,W,1,8,1.16,3729.6
736367.832349537,37.9064925,N,107.7260705,W,1,8,1.16,3730.3
736367.8323611111,37.906493833333336,N,107.72606833333333,W,1,8,1.2,3730.6
736367.8323726852,37.906493166666664,N,107.72606866666666,W,1,8,1.16,3730.8
736367.8323842592,37.906491333333335,N,107.72607033333334,W,1,8,1.07,3730.9
736367.8323958333,37.906493,N,107.7260695,W,1,8,1.07,3731.0
736367.8324074075,37.90649466666667,N,107.72606716666667,W,1,8,1.07,3730.9
736367.8324189815,37.906497,N,107.72606683333333,W,1,8,1.02,3731.0
736367.8324305556,37.90649416666667,N,107.72606883333333,W,1,8,1.02,3731.3
736367.8324421296,37.90649716666667,N,107.726064,W,1,8,1.02,3731.7
736367.8324537037,37.906498166666665,N,107.72606133333333,W,1,8,1.07,3731.7
736367.8324652778,37.906501166666665,N,107.726056,W,1,8,1.07,3731.9
736367.8324768519,37.90652016666667,N,107.72605516666667,W,1,8,1.56,3731.8
736367.8324884259,37.906524833333336,N,107.72605483333334,W,1,8,1.56,3731.8
736367.8325,37.906529,N,107.72605533333333,W,1,8,1.56,3731.2
736367.832511574,37.906525333333335,N,107.72605666666666,W,1,8,1.56,3730.7
736367.8325231482,37.906527,N,107.72605733333333,W,1,8,1.42,3730.5
736367.8325347222,37.90653116666667,N,107.726056,W,1,8,1.42,3730.2
736367.8325462963,37.906538166666664,N,107.72605683333333,W,1,8,1.42,3730.1
736367.8325578704,37.90653833333333,N,107.72606133333333,W,1,8,1.42,3729.6
736367.8325694444,37.906539,N,107.72606433333333,W,1,8,1.42,3729.2
736367.8325810186,37.906538166666664,N,107.72606716666667,W,1,8,1.42,3729.0
736367.8325925926,37.906537,N,107.7260705,W,1,8,1.42,3728.7
736367.8326041667,37.906537166666666,N,107.72607133333334,W,1,8,1.42,3728.7
736367.8326157407,37.9065365,N,107.72607033333334,W,1,8,1.42,3728.6
736367.8326273148,37.906537,N,107.7260705,W,1,8,1.42,3728.3
736367.8326388889,37.906537166666666,N,107.7260685,W,1,8,1.42,3728.2
736367.832650463,37.90653783333333,N,107.72606883333333,W,1,8,1.42,3728.0
736367.832662037,37.906531,N,107.7260705,W,1,8,1.23,3727.4
736367.8326736111,37.90653233333333,N,107.72606916666666,W,1,8,1.42,3727.4
736367.8326851851,37.90653283333333,N,107.72606966666666,W,1,8,1.42,3727.3
736367.8326967593,37.9065345,N,107.726068,W,1,8,1.42,3727.3
736367.8327083334,37.906533833333334,N,107.72606583333334,W,1,8,1.42,3727.3
736367.8327199074,37.90653233333333,N,107.72606483333334,W,1,8,1.42,3727.3
736367.8327314815,37.90652816666667,N,107.72606733333333,W,1,8,1.42,3727.2
736367.8327430555,37.9065275,N,107.726066,W,1,8,1.42,3727.4
736367.8327546297,37.906526,N,107.7260665,W,1,8,1.42,3727.6
736367.8327662037,37.90652733333334,N,107.72606916666666,W,1,8,1.42,3727.2
736367.8327777778,37.90652933333333,N,107.72606999999999,W,1,8,1.02,3727.1
736367.8327893518,37.9065325,N,107.72606616666667,W,1,8,1.02,3726.7
736367.832800926,37.90653183333333,N,107.72607116666667,W,1,8,1.02,3726.5
736367.8328125,37.90653616666667,N,107.726073,W,1,8,1.02,3726.0
736367.8328240741,37.906536833333334,N,107.72607416666666,W,1,8,1.02,3725.4
736367.8328356481,37.9065355,N,107.72607516666666,W,1,8,1.02,3725.1
736367.8328472222,37.906531666666666,N,107.72607633333334,W,1,8,1.03,3725.3
736367.8328587963,37.906523166666666,N,107.72607866666667,W,1,8,1.42,3725.0
736367.8328703704,37.90652133333333,N,107.72607766666667,W,1,8,1.42,3725.1
736367.8328819445,37.906526,N,107.72607583333334,W,1,8,1.03,3724.9
736367.8328935185,37.90651883333334,N,107.726081,W,1,8,1.03,3724.4
736367.8329050926,37.9065085,N,107.72608666666666,W,1,8,1.03,3723.7
736367.8329166666,37.90650183333333,N,107.726091,W,1,8,0.97,3723.9
736367.8329282408,37.90650316666667,N,107.72609283333334,W,1,8,0.97,3724.6
736367.8329398148,37.9065065,N,107.72609316666667,W,1,8,1.08,3724.4
736367.8329513889,37.90651,N,107.7260885,W,1,8,1.08,3725.8
736367.8329629629,37.906511333333334,N,107.7260915,W,1,8,1.1,3725.9
736367.832974537,37.906510833333336,N,107.72609233333333,W,1,8,1.36,3725.9
736367.832986111,37.906514333333334,N,107.726093,W,1,8,1.36,3725.9
736367.8329976852,37.9065235,N,107.72609083333333,W,1,8,1.31,3726.2
736367.8330092593,37.906524,N,107.72609316666667,W,1,8,1.43,3725.9
736367.8330208333,37.9065275,N,107.72608983333333,W,1,8,1.43,3726.2
736367.8330324074,37.9065305,N,107.726088,W,1,8,1.43,3726.4
736367.8330439815,37.906531333333334,N,107.72608766666667,W,1,8,1.43,3726.3
736367.8330555556,37.90653183333333,N,107.72608333333334,W,1,8,1.43,3726.6
736367.8330671296,37.90653666666667,N,107.726082,W,1,8,1.43,3726.9
736367.8330787037,37.9065325,N,107.7260835,W,1,8,1.43,3726.8
736367.8330902777,37.906530000000004,N,107.72608366666667,W,1,8,1.43,3726.9
736367.8331018519,37.90652383333333,N,107.7260865,W,1,8,0.97,3726.7
736367.8331134259,37.906525333333335,N,107.72608383333333,W,1,8,0.97,3727.0
736367.833125,37.906523166666666,N,107.7260845,W,1,8,0.97,3726.7
736367.833136574,37.906522833333334,N,107.72608383333333,W,1,8,0.97,3726.8
736367.8331481481,37.906520666666665,N,107.72608416666667,W,1,8,0.97,3726.7
736367.8331597223,37.9065185,N,107.72608433333333,W,1,8,0.97,3726.5
736367.8331712963,37.9065175,N,107.72608883333334,W,1,8,0.97,3726.1
736367.8331828704,37.906521,N,107.72609316666667,W,1,8,0.97,3725.7
736367.8331944444,37.906524,N,107.72609466666667,W,1,8,1.23,3725.7
736367.8332060185,37.9065265,N,107.72609716666666,W,1,8,1.23,3725.5
736367.8332175926,37.90652683333333,N,107.72610183333333,W,1,8,1.23,3725.3
736367.8332291667,37.9065285,N,107.72610283333333,W,1,8,1.23,3725.3
736367.8332407407,37.90652733333334,N,107.72610216666666,W,1,8,1.23,3725.3
736367.8332523148,37.90652883333333,N,107.726108,W,1,8,1.23,3724.7
736367.8332638888,37.90652883333333,N,107.72610716666667,W,1,8,1.23,3724.6
736367.833275463,37.9065375,N,107.726096,W,1,8,0.97,3725.9
736367.8332870371,37.906545,N,107.726086,W,1,8,0.97,3726.9
736367.8332986111,37.906549166666665,N,107.72608,W,1,8,0.97,3727.5
736367.8333101852,37.90655366666667,N,107.726074,W,1,8,0.97,3728.2
736367.8333217592,37.906557666666664,N,107.7260695,W,1,8,0.98,3728.5
736367.8333333334,37.90656116666667,N,107.726063,W,1,8,1.03,3729.4
736367.8333449074,37.906558833333335,N,107.72606066666667,W,1,8,0.98,3729.9
736367.8333564815,37.90656283333333,N,107.72605283333333,W,1,8,0.98,3730.8
736367.8333680555,37.90657016666667,N,107.72604716666666,W,1,8,0.98,3731.5
736367.8333796297,37.90657216666666,N,107.726044,W,1,8,0.98,3732.1
736367.8333912037,37.90657383333333,N,107.726045,W,1,8,0.98,3731.9
736367.8334027778,37.906579666666666,N,107.7260415,W,1,8,0.98,3732.2
736367.8334143518,37.9065875,N,107.72603566666666,W,1,8,0.98,3732.9
736367.8334259259,37.906592333333336,N,107.726032,W,1,8,0.98,3733.1
736367.8334375,37.906586833333336,N,107.72602983333333,W,1,8,0.98,3733.7
736367.8334490741,37.90658833333333,N,107.72602683333334,W,1,8,0.98,3733.9
736367.8334606482,37.906594,N,107.72601616666667,W,1,8,0.98,3734.8
736367.8334722222,37.906586833333336,N,107.72601483333334,W,1,8,0.98,3734.8
736367.8334837963,37.90658966666667,N,107.726013,W,1,8,0.98,3735.0
736367.8334953703,37.90659516666667,N,107.72600916666667,W,1,8,0.98,3735.4
736367.8335069445,37.90660233333333,N,107.72600783333333,W,1,8,0.98,3735.7
736367.8335185185,37.90660783333333,N,107.72600133333333,W,1,8,0.98,3736.4
736367.8335300926,37.9066145,N,107.72599566666666,W,1,8,1.12,3737.4
736367.8335416666,37.906616166666666,N,107.7259945,W,1,8,1.12,3737.7
736367.8335532408,37.906618333333334,N,107.7259885,W,1,8,1.06,3738.2
736367.8335648148,37.906618333333334,N,107.7259865,W,1,8,1.12,3738.5
736367.8335763889,37.90661683333333,N,107.72598866666667,W,1,8,1.06,3738.6
736367.833587963,37.906614,N,107.7259925,W,1,8,1.03,3738.3
