day.dec,latitude,N/S,longitude,E/W,GPSfix,NSats,HDOP,elevation
736368.6829513889,37.90572866666667,N,107.70771783333333,W,1,8,0.89,3351.6
736368.682962963,37.905727,N,107.707717,W,1,8,0.79,3352.1
736368.682974537,37.90572483333333,N,107.707716,W,1,8,0.79,3352.5
736368.6829861111,37.90572383333333,N,107.707715,W,1,8,0.79,3352.8
736368.6829976852,37.9057235,N,107.70771433333333,W,1,8,0.79,3353.1
736368.6830092593,37.9057235,N,107.70771383333333,W,1,8,0.79,3353.2
736368.6830208333,37.9057235,N,107.70771316666666,W,1,8,0.79,3353.4
736368.6830324074,37.905724,N,107.707713,W,1,8,0.79,3353.4
736368.6830439814,37.90572366666667,N,107.70771266666667,W,1,8,0.79,3353.6
736368.6830555556,37.90572383333333,N,107.70771216666667,W,1,8,0.79,3353.7
736368.6830671296,37.9057245,N,107.70771183333333,W,1,8,0.79,3354.0
736368.6830787037,37.9057255,N,107.70771133333334,W,1,8,0.79,3353.9
736368.6830902778,37.905725333333336,N,107.707711,W,1,8,0.79,3353.9
736368.6831018518,37.905725833333335,N,107.70771016666667,W,1,8,0.84,3353.9
736368.683113426,37.905725833333335,N,107.70771016666667,W,1,8,0.79,3353.8
736368.683125,37.90572616666667,N,107.70771083333334,W,1,8,0.79,3353.7
736368.6831365741,37.905729,N,107.707712,W,1,8,0.79,3353.3
736368.6831481481,37.90573,N,107.707713,W,1,8,0.79,3353.2
736368.6831597222,37.90573083333334,N,107.7077135,W,1,8,0.84,3352.8
736368.6831712963,37.905730166666665,N,107.70771383333333,W,1,8,0.84,3352.6
736368.6831828704,37.90573066666666,N,107.70771416666666,W,1,8,0.84,3352.2
736368.6831944444,37.90573116666667,N,107.707715,W,1,8,0.84,3351.7
736368.6832060185,37.90573,N,107.70771566666667,W,1,8,0.75,3351.8
736368.6832175925,37.90573033333333,N,107.70771583333334,W,1,8,0.75,3351.9
736368.6832291667,37.90572916666667,N,107.70771533333334,W,1,8,0.75,3352.0
736368.6832407408,37.90572866666667,N,107.70771533333334,W,1,8,0.75,3351.8
736368.6832523148,37.905728833333335,N,107.70771616666667,W,1,8,0.71,3351.7
736368.6832638889,37.9057285,N,107.70771666666667,W,1,8,0.71,3351.6
736368.683275463,37.9057275,N,107.70771716666667,W,1,8,0.77,3351.5
736368.6832870371,37.905727166666665,N,107.70771683333334,W,1,8,0.77,3351.3
736368.6832986111,37.905726,N,107.70771716666667,W,1,8,0.83,3351.0
736368.6833101852,37.905725833333335,N,107.70771516666667,W,1,8,0.72,3350.8
736368.6833217592,37.90572383333333,N,107.707714,W,1,8,0.77,3350.3
736368.6833333333,37.90572266666667,N,107.70771516666667,W,1,8,0.84,3350.1
736368.6833449074,37.90572316666667,N,107.70771533333334,W,1,8,0.84,3349.7
736368.6833564815,37.90572316666667,N,107.70771416666666,W,1,8,0.77,3349.4
736368.6833680555,37.9057225,N,107.70771366666666,W,1,8,0.77,3349.2
736368.6833796296,37.90572133333333,N,107.70771416666666,W,1,8,0.77,3349.2
736368.6833912038,37.90572083333333,N,107.70771533333334,W,1,8,0.77,3349.1
736368.6834027778,37.9057215,N,107.70771533333334,W,1,8,0.77,3348.8
736368.6834143519,37.905722833333336,N,107.70771583333334,W,1,8,0.77,3348.5
736368.6834259259,37.90572433333333,N,107.70771633333334,W,1,8,0.77,3348.1
736368.6834375,37.905725,N,107.70771683333334,W,1,8,0.76,3347.9
736368.683449074,37.905726,N,107.70771683333334,W,1,8,0.71,3347.7
736368.6834606482,37.905726333333334,N,107.70771683333334,W,1,8,0.71,3347.4
736368.6834722222,37.905726333333334,N,107.707717,W,1,8,0.71,3347.4
736368.6834837963,37.90572616666667,N,107.70771733333333,W,1,8,0.77,3347.4
736368.6834953703,37.90572616666667,N,107.70771716666667,W,1,8,0.77,3347.4
736368.6835069444,37.90572616666667,N,107.7077175,W,1,8,0.77,3347.3
736368.6835185185,37.90572566666667,N,107.70771833333333,W,1,8,0.77,3347.4
736368.6835300926,37.9057255,N,107.70771916666666,W,1,8,0.77,3347.4
736368.6835416667,37.9057255,N,107.70771933333333,W,1,8,0.77,3347.5
736368.6835532407,37.9057255,N,107.70771933333333,W,1,8,0.77,3347.3
736368.6835648149,37.905725333333336,N,107.70771916666666,W,1,8,0.77,3347.2
736368.6835763889,37.90572516666667,N,107.707719,W,1,8,0.77,3347.2
736368.683587963,37.905725333333336,N,107.707719,W,1,8,0.77,3347.1
736368.683599537,37.905725333333336,N,107.70771933333333,W,1,8,0.77,3347.0
736368.6836111111,37.9057255,N,107.70771983333333,W,1,8,0.79,3346.8
736368.6836226851,37.90572516666667,N,107.7077205,W,1,8,0.79,3346.6
736368.6836342593,37.905724666666664,N,107.70772116666667,W,1,8,0.83,3346.4
