day.dec,latitude,N/S,longitude,E/W,GPSfix,NSats,HDOP,elevation
736382.6733217592,37.90561,N,107.70790666666667,W,1,7,3.33,3344.7
736382.6733333333,37.90560983333334,N,107.70790266666667,W,1,7,3.33,3344.1
736382.6733449074,37.90560883333333,N,107.70789883333333,W,1,7,3.33,3343.6
736382.6733564815,37.9056085,N,107.70789633333334,W,1,7,3.33,3343.3
736382.6733680556,37.90560716666667,N,107.70789166666667,W,1,7,3.33,3342.7
736382.6733796296,37.905606666666664,N,107.70788983333334,W,1,7,3.33,3342.5
736382.6733912037,37.905606666666664,N,107.70789116666667,W,1,7,3.33,3342.9
736382.6734027778,37.905606166666665,N,107.70789316666666,W,1,7,3.33,3343.6
736382.6734143519,37.905606,N,107.7078925,W,1,7,3.34,3343.6
736382.6734259259,37.905606166666665,N,107.7078925,W,1,7,3.34,3343.8
736382.6734375,37.905606,N,107.70789266666667,W,1,7,3.34,3343.9
736382.673449074,37.905607333333336,N,107.707894,W,1,7,3.34,3344.1
736382.6734606482,37.90560766666667,N,107.70789266666667,W,1,7,3.34,3344.0
736382.6734722222,37.90560833333333,N,107.70789316666666,W,1,7,3.34,3344.1
736382.6734837963,37.90560933333333,N,107.70789533333334,W,1,7,3.34,3344.5
736382.6734953703,37.90560983333334,N,107.70789616666667,W,1,7,3.34,3344.7
736382.6735069444,37.9056095,N,107.70789583333334,W,1,7,3.34,3344.7
736382.6735185186,37.90561066666667,N,107.70789633333334,W,1,7,3.34,3344.8
736382.6735300926,37.9056105,N,107.70789533333334,W,1,7,3.34,3344.6
736382.6735416667,37.9056105,N,107.7078955,W,1,7,3.34,3344.6
736382.6735532407,37.90561066666667,N,107.707895,W,1,7,3.35,3344.6
736382.6735648148,37.905610333333335,N,107.70789366666666,W,1,7,3.35,3344.3
736382.6735763889,37.905611,N,107.70789433333333,W,1,7,3.35,3344.4
736382.673587963,37.905612,N,107.70789833333333,W,1,7,3.35,3345.1
736382.673599537,37.90561116666667,N,107.70789966666666,W,1,7,3.35,3345.3
736382.6736111111,37.905610333333335,N,107.707903,W,1,7,3.35,3346.0
736382.6736226851,37.905608,N,107.70790766666667,W,1,8,1.64,3346.9
736382.6736342593,37.905606666666664,N,107.707913,W,1,8,1.64,3348.1
736382.6736458334,37.905608,N,107.70791416666667,W,1,8,1.64,3348.4
736382.6736574074,37.90560883333333,N,107.7079165,W,1,8,1.64,3348.9
736382.6736689815,37.905609,N,107.70791666666666,W,1,8,1.64,3349.0
736382.6736805555,37.90561133333333,N,107.70792133333333,W,1,8,1.64,3350.0
736382.6736921297,37.905612833333336,N,107.707924,W,1,8,1.64,3350.5
736382.6737037037,37.905614666666665,N,107.707924,W,1,8,1.64,3350.6
736382.6737152778,37.905615166666664,N,107.70792533333334,W,1,8,1.64,3351.0
736382.6737268518,37.9056155,N,107.7079265,W,1,8,1.64,3351.4
736382.673738426,37.905614,N,107.7079275,W,1,8,1.64,3351.6
736382.67375,37.905613333333335,N,107.70792816666666,W,1,8,1.64,3351.7
736382.6737615741,37.905612833333336,N,107.70793016666667,W,1,8,1.64,3352.2
736382.6737731481,37.905614,N,107.70793216666667,W,1,8,1.64,3352.6
736382.6737847222,37.9056145,N,107.70793533333334,W,1,8,1.63,3353.3
736382.6737962964,37.905615,N,107.70793466666667,W,1,8,1.63,3353.2
736382.6738078704,37.90561433333333,N,107.70793366666666,W,1,8,1.63,3353.2
736382.6738194445,37.905613833333334,N,107.70793316666666,W,1,7,1.84,3353.1
736382.6738310185,37.90561483333333,N,107.7079335,W,1,7,1.84,3353.2
736382.6738425926,37.90561483333333,N,107.70793333333333,W,1,7,1.84,3353.2
736382.6738541666,37.90561316666667,N,107.70793283333333,W,1,7,1.84,3353.2
736382.6738657408,37.905612833333336,N,107.70793516666667,W,1,7,1.84,3353.7
736382.6738773148,37.90561133333333,N,107.7079355,W,1,8,1.63,3353.5
736382.6738888889,37.90561133333333,N,107.70793783333333,W,1,8,1.63,3353.8
736382.6739004629,37.90561133333333,N,107.70793883333333,W,1,7,1.65,3353.9
736382.673912037,37.905613333333335,N,107.70793966666666,W,1,7,1.65,3354.1
736382.6739236111,37.90561816666667,N,107.707941,W,1,7,1.65,3354.3
736382.6739351852,37.90561983333333,N,107.7079425,W,1,7,1.65,3354.4
736382.6739467593,37.905623,N,107.707943,W,1,7,1.65,3354.4
736382.6739583333,37.90562516666667,N,107.70794316666667,W,1,7,1.65,3354.4
